Deal_ID,Issuer,Sector,Currency,Size_M,Tenor,Coupon,Spread_bps,NIP_bps,Oversubscription,Pricing_Date,Rating,Lead_Manager
D001,Volkswagen AG,Automobiles,EUR,1500,5Y,3.125,85,5,3.2x,2025-11-15,A3,Deutsche Bank
D002,BMW AG,Automobiles,EUR,1000,7Y,3.375,90,6,2.8x,2025-11-10,A2,BNP Paribas
D003,Mercedes-Benz,Automobiles,EUR,1250,5Y,3.000,80,4,3.5x,2025-11-08,A2,JP Morgan
D004,Siemens AG,Industrials,EUR,1000,10Y,3.500,65,3,4.2x,2025-11-05,A1,Citigroup
D005,BASF SE,Chemicals,EUR,750,7Y,3.625,95,7,2.5x,2025-10-28,A3,HSBC
D006,TotalEnergies,Energy,EUR,2000,10Y,3.750,70,4,3.8x,2025-10-22,Aa3,Barclays
D007,Shell plc,Energy,USD,2500,10Y,4.250,75,5,3.5x,2025-10-18,Aa3,Goldman Sachs
D008,Porsche AG,Automobiles,EUR,750,5Y,3.250,88,6,4.0x,2025-10-12,A2,Morgan Stanley
D009,Airbus SE,Aerospace,EUR,1500,8Y,3.125,60,3,4.5x,2025-10-08,A2,Credit Agricole
D010,Stellantis,Automobiles,EUR,1000,5Y,3.500,105,8,2.2x,2025-10-02,Baa1,Societe Generale
D011,Renault SA,Automobiles,EUR,800,5Y,4.125,135,10,1.8x,2025-09-28,Ba1,BNP Paribas
D012,Daimler Truck,Automobiles,EUR,600,4Y,3.375,92,5,2.9x,2025-09-22,A3,Deutsche Bank
D013,Allianz SE,Insurance,EUR,1250,12Y,3.250,55,2,5.2x,2025-09-18,Aa3,JP Morgan
D014,Munich Re,Insurance,EUR,1000,10Y,3.125,50,2,4.8x,2025-09-12,Aa3,Barclays
D015,Deutsche Telekom,Telecom,EUR,1500,8Y,3.375,72,4,3.6x,2025-09-08,Baa1,Citigroup
D016,Orange SA,Telecom,EUR,1000,7Y,3.500,78,5,3.2x,2025-09-02,Baa1,HSBC
D017,Telefonica,Telecom,EUR,1250,10Y,4.000,95,6,2.4x,2025-08-28,Baa3,Santander
D018,Enel SpA,Utilities,EUR,1500,8Y,3.625,82,5,3.0x,2025-08-22,Baa1,UniCredit
D019,Iberdrola,Utilities,EUR,1000,10Y,3.500,75,4,3.4x,2025-08-18,Baa1,BBVA
D020,EDF,Utilities,EUR,2000,12Y,3.875,88,6,2.8x,2025-08-12,Baa1,Credit Agricole
D021,Nestle SA,Consumer,CHF,800,6Y,2.250,42,2,5.5x,2025-08-08,Aa2,UBS
D022,Unilever,Consumer,EUR,1000,7Y,3.125,58,3,4.2x,2025-08-02,A1,HSBC
D023,Danone SA,Consumer,EUR,750,5Y,3.375,72,4,3.5x,2025-07-28,Baa1,BNP Paribas
D024,AB InBev,Consumer,EUR,1500,10Y,3.750,85,5,3.0x,2025-07-22,Baa1,JP Morgan
D025,Heineken,Consumer,EUR,800,7Y,3.500,78,5,3.2x,2025-07-18,Baa1,ING
D026,LVMH,Luxury,EUR,1250,8Y,2.875,48,2,5.8x,2025-07-12,A1,BNP Paribas
D027,Kering,Luxury,EUR,750,6Y,3.000,55,3,4.5x,2025-07-08,A3,Societe Generale
D028,Hermes,Luxury,EUR,500,5Y,2.625,40,2,6.2x,2025-07-02,A1,Credit Agricole
D029,Richemont,Luxury,CHF,600,7Y,2.375,45,2,5.0x,2025-06-28,A2,UBS
D030,Sanofi,Healthcare,EUR,1500,10Y,3.250,62,3,4.0x,2025-06-22,A1,JP Morgan
D031,Novartis,Healthcare,USD,2000,10Y,4.125,68,4,3.8x,2025-06-18,Aa3,Goldman Sachs
D032,Roche,Healthcare,CHF,1000,8Y,2.500,52,3,4.5x,2025-06-12,Aa3,Credit Suisse
D033,AstraZeneca,Healthcare,GBP,1250,10Y,4.375,72,4,3.6x,2025-06-08,A3,Barclays
